"","speaker","trial_num","tune","erb","erbc","normtime","prop_dur","speaker_trial"
"95","speaker1",4,"HHL",5.19426484378838,0.459470327631493,5,0.166666666666667,"speaker1_4"
"96","speaker1",4,"HHL",5.18736443961587,0.452569923458984,6,0.2,"speaker1_4"
"97","speaker1",4,"HHL",5.22468628082803,0.48989176467114,7,0.233333333333333,"speaker1_4"
"98","speaker1",4,"HHL",5.32912502464618,0.594330508489294,8,0.266666666666667,"speaker1_4"
"99","speaker1",4,"HHL",5.52125945412064,0.786464937963745,9,0.3,"speaker1_4"
"100","speaker1",4,"HHL",5.73973112615464,1.00493660999774,10,0.333333333333333,"speaker1_4"
"101","speaker1",4,"HHL",5.9578497995927,1.22305528343581,11,0.366666666666667,"speaker1_4"
"102","speaker1",4,"HHL",6.16739061861978,1.43259610246289,12,0.4,"speaker1_4"
"103","speaker1",4,"HHL",6.31760374493055,1.58280922877366,13,0.433333333333333,"speaker1_4"
"104","speaker1",4,"HHL",6.45503039538628,1.72023587922939,14,0.466666666666667,"speaker1_4"
"105","speaker1",4,"HHL",6.57529318070748,1.84049866455059,15,0.5,"speaker1_4"
"106","speaker1",4,"HHL",6.64026449972263,1.90546998356574,16,0.533333333333333,"speaker1_4"
"107","speaker1",4,"HHL",6.6875149965143,1.95272048035741,17,0.566666666666667,"speaker1_4"
"108","speaker1",4,"HHL",6.76040640823067,2.02561189207378,18,0.6,"speaker1_4"
"109","speaker1",4,"HHL",6.80875007845891,2.07395556230202,19,0.633333333333333,"speaker1_4"
"110","speaker1",4,"HHL",6.82903031638992,2.09423580023303,20,0.666666666666667,"speaker1_4"
"111","speaker1",4,"HHL",6.83164013170515,2.09684561554826,21,0.7,"speaker1_4"
"112","speaker1",4,"HHL",6.82706273230978,2.09226821615288,22,0.733333333333333,"speaker1_4"
"113","speaker1",4,"HHL",6.81969520379146,2.08490068763457,23,0.766666666666667,"speaker1_4"
"114","speaker1",4,"HHL",6.8091600213378,2.07436550518091,24,0.8,"speaker1_4"
"115","speaker1",4,"HHL",6.81989018718287,2.08509567102598,25,0.833333333333333,"speaker1_4"
"116","speaker1",4,"HHL",6.85142360957868,2.11662909342179,26,0.866666666666667,"speaker1_4"
"117","speaker1",4,"HHL",6.85694068562065,2.12214616946376,27,0.9,"speaker1_4"
"118","speaker1",4,"HHL",6.75930743684731,2.02451292069042,28,0.933333333333333,"speaker1_4"
"119","speaker1",4,"HHL",6.65150900805315,1.91671449189626,29,0.966666666666667,"speaker1_4"
"120","speaker1",4,"HHL",6.65341485511439,1.9186203389575,30,1,"speaker1_4"
"121","speaker1",5,"HHL",4.12475423392875,-0.610040282228139,1,0.0333333333333333,"speaker1_5"
